objectid	provinsi	kabkot	jumlah_kec	jumlah_des	jumlah_kel	jumlah_pen	jumlah_kk	luas_wilay	kepadatan_	perpindaha	jumlah_men	perubahan_	wajib_ktp	islam	kristen	katholik	hindu	budha	konghucu	kepercayaa	pria	wanita	belum_kawi	kawin	cerai_hidu	cerai_mati	u0	u5	u10	u15	u20	u25	u30	u35	u40	u45	u50	u55	u60	u65	u70	u75	lahir_thn3	lahir_seb3	pertumbuha	pertumbuh2	pertumbuh3	pertumbuh4	pertumbuh5	pendidikan	pendidika2	pendidika3	pendidika4	pendidika5	pendidika6	tidak_belu	belum_tama	tamat_sd	sltp	slta	diploma_i_	diploma_ii	diploma_iv	strata_ii	strata_iii	a	b	ab	o	a_	a_2	b_	b_2	ab_	ab_2	o_	o_2	tidak_di_k	belum_tida	aparatur_p	tenaga_pen	wiraswasta	pertanian_	nelayan	agama_dan_	pelajar_ma	tenaga_kes	pensiunan	lainnya	generated_	f4_18_tahun_pendidikan_khusus	f5_6_tahun_paud	f7_12_tahun_sd	f12_15_tahun_smp	f16_18_tahun_sma
524	ACEH	ACEH SELATAN	18	260	0	234169	70562	4175.37	56	477	217	223693	169433	233896	156	20	0	97	0	0	117226	116943	119055	98973	1950	14191	18495	20495	19848	19977	22399	19480	17867	17342	16324	16049	13818	10688	8310	5210	3306	4561	3859	221888	2	2	2	2	0	8220	24151	11782	12038	11754	22674	45148	27544	57818	36489	50993	2251	3310	10290	318	8	4284	5022	1290	12932	37	16	36	18	20	23	53	201	210237	49239	7670	1354	22870	29244	4968	236	63061	546	1246	53735	30 Juni 2022	60503	8068	24248	11635	12581
525	ACEH	ACEH TENGGARA	16	384	0	227921	65470	4179.12	55	1900	63	189389	151321	186935	38760	2222	0	1	0	3	114400	113521	116945	98651	3005	9320	21143	24324	24642	21352	21136	18995	16860	15943	14947	13187	10783	8232	6579	4184	2384	3230	4227	213883	2	2	2	2	1	9575	29788	13950	12693	12949	22069	69608	24249	33351	33573	54140	1904	2595	8117	379	5	2313	1271	562	2696	52	10	18	21	15	28	59	276	220600	69565	7499	752	19506	60369	30	86	45625	458	1156	22875	30 Juni 2022	70716	9314	30045	13368	13522
526	ACEH	ACEH TIMUR	24	513	0	434929	125501	5432.63	80	1118	168	351626	281864	434790	75	11	0	53	0	0	218530	216399	227119	182363	7366	18081	44242	48144	47424	30415	38779	35255	35615	34602	29457	25015	20279	15793	11992	7652	4825	5440	9599	405859	3	2	2	2	0	19360	57231	28002	14818	18123	34290	143331	37818	110925	64690	62510	2275	4198	8921	248	13	2040	2016	820	5567	42	9	22	8	19	28	68	170	424120	151485	6930	3522	48477	52649	7703	386	67299	1935	592	93951	30 Juni 2022	134684	19272	56842	26163	22766
527	ACEH	ACEH TENGAH	14	295	0	219744	66768	4521.7	49	581	108	184812	148192	218945	436	113	4	246	0	0	110698	109046	104656	103979	3462	7647	20276	23082	22181	16371	19662	16756	17056	16259	16224	14745	11582	8686	6296	3954	2538	4076	4463	206194	2	2	2	2	0	9224	27356	12691	8666	9646	19793	68335	20253	34613	30093	49015	2368	3535	10899	622	11	2834	3381	1210	6930	24	11	39	8	32	35	51	84	205105	68299	7782	1938	23728	55742	54	53	33964	926	1208	26050	30 Juni 2022	63800	9014	26839	12135	11294
528	ACEH	ACEH BARAT	12	321	0	198858	63385	2818.17	71	459	84	178229	140007	197716	415	55	0	672	0	0	100053	98805	94358	92987	2366	9147	16250	18032	18571	15457	15801	15709	15520	16358	15231	13742	12024	8926	6745	4187	2791	3514	3441	188164	2	2	2	2	0	7227	21972	11383	8633	8998	16161	39648	24944	40127	26872	50573	2369	3574	10127	599	25	3841	4953	1716	10432	80	12	88	15	42	35	66	126	177452	39302	7910	1100	28943	22915	2514	105	50751	655	1283	43380	30 Juni 2022	53373	7144	22289	10897	9460
529	ACEH	ACEH BESAR	23	604	0	422241	124688	2882.83	146	1053	271	378783	286868	420995	871	189	12	174	0	0	211818	210423	215682	183112	3786	19661	37460	41609	43051	32547	32280	33413	34307	35522	30883	27401	22053	17294	12402	8523	5494	8002	8014	397565	2	2	2	2	0	16848	50271	26451	16829	18847	31333	86498	53546	59884	58693	116871	4750	10510	31204	282	3	11593	14435	4597	34904	472	49	527	66	186	81	580	387	354364	90516	18744	4151	62964	41239	2531	680	114274	1580	3318	82229	30 Juni 2022	113651	16420	50596	24326	14128
530	ACEH	PIDIE	23	730	0	436796	133839	3133.93	139	699	201	415357	307214	436585	95	19	0	97	0	0	215028	221768	223332	184761	5415	23288	36582	40125	40768	35926	35738	35725	35387	34775	30426	27462	22303	17732	14542	10667	7898	10740	8196	412642	2	2	2	2	0	16269	47958	24739	21151	20725	39859	91300	59714	64398	69973	120160	3903	7789	18897	649	13	3678	3981	1489	8665	218	7	235	14	99	91	376	461	417482	90080	9910	3259	58900	57875	4243	802	120946	1233	3145	86403	30 Juni 2022	120380	15873	48563	24283	23749
531	ACEH	ACEH UTARA	27	852	0	609705	184045	2711.15	225	1252	518	501661	406751	609427	159	34	0	85	0	0	303003	306702	310883	264090	6815	27917	61327	62534	60856	42182	54088	50567	51101	47605	40455	36400	30059	23610	18227	12532	7870	10292	12898	568497	2	2	2	2	1	25977	73096	36771	20756	24862	47447	144787	75683	131807	90797	141177	2429	6263	16156	569	37	6364	7307	3249	16268	434	83	95	119	61	123	255	732	574615	147361	9142	5830	66252	98635	4783	1058	154379	2468	947	118850	30 Juni 2022	173767	25246	72808	34857	28180
532	ACEH	SIMEULUE	10	138	0	94560	26245	1821.75	52	199	49	85629	65663	94310	233	7	0	9	0	1	48520	46040	49712	39837	634	4377	7507	9083	9237	10036	8776	7525	7108	7470	6980	5681	4585	3736	2847	1753	1093	1143	1634	89766	2	2	2	1	0	3628	10849	5858	6081	6097	9249	19837	12200	19754	13751	20703	1164	1877	5145	122	7	2262	3489	919	14110	55	0	59	9	23	22	89	107	73416	21241	3857	805	9562	9921	4117	30	25834	464	325	18404	30 Juni 2022	28471	3598	11017	6120	5936
533	ACEH	ACEH SINGKIL	11	116	0	129674	35169	1852.82	70	357	42	112553	83402	113803	14348	1263	6	2	0	252	65332	64342	69195	54871	1094	4514	12727	14693	14563	11143	12526	11274	9902	10245	8677	7143	5514	4153	2821	1884	1082	1327	2849	121498	2	2	2	2	0	5750	17825	8457	5880	6680	12775	46145	19572	21207	14134	21743	648	1416	4657	150	2	844	844	345	2119	32	20	23	23	12	19	54	248	125091	45565	4007	541	15193	13126	3844	65	21702	268	255	25108	30 Juni 2022	42462	6004	17447	8231	7956
534	ACEH	BIREUEN	17	609	0	445503	134865	1793.27	248	1113	248	387635	307589	444987	171	22	14	309	0	0	219010	226493	230411	184705	5281	25106	41888	42541	41820	32699	37246	36170	37281	35345	31018	27953	23638	18322	14334	9977	6691	8580	8809	416944	2	2	2	2	1	17431	50223	24810	17858	17598	39812	101911	49435	86045	73558	102709	3890	7424	19782	685	64	4925	5360	1825	13615	111	23	60	16	47	69	100	199	419153	105049	10097	4232	64424	54089	4280	721	109402	1891	1952	89366	30 Juni 2022	123331	17544	50605	23657	22699
